id_provider,NIT,URL,FK_id_person
4000,N 400 - 300 - 601,www.providerTattooShop1.com,1522
4001,N 400 - 300 - 602,www.providerTattooShop2.com,1523
4002,N 400 - 300 - 603,www.providerTattooShop3.com,1524
4003,N 400 - 300 - 604,www.providerTattooShop4.com,1525
4004,N 400 - 300 - 605,www.providerTattooShop5.com,1526
4005,N 400 - 300 - 606,www.providerTattooShop6.com,1527
4006,N 400 - 300 - 607,www.providerTattooShop7.com,1528
4007,N 400 - 300 - 608,www.providerTattooShop8.com,1529
4008,N 400 - 300 - 609,www.providerTattooShop9.com,1530
4009,N 400 - 300 - 610,www.providerTattooShop10.com,1531
