id_catalog,tattoo_catalog_url,id_tattoo_shop
100,https://www.instagram.com/tattootunja_saloonprive/?r=nametag,4
101,https://www.instagram.com/dntatuajeria/,8
102,https://www.instagram.com/cry_in_ink_tattoo/,8
103,https://www.instagram.com/zata.6/,8
104,https://www.instagram.com/afterinked/,8
105,https://www.instagram.com/cacattoo/,8
106,https://www.instagram.com/piso_3_xtreme_shop_tunja/,8
107,https://www.instagram.com/santiagosaenzh/,8
108,https://www.instagram.com/soulart_tattoo_studio/?utm_medium=copy_link,13
109,https://www.instagram.com/leontatuador/,1
110,https://www.instagram.com/ferchoneva/?hl=es-la,20
111,https://www.instagram.com/jumaa_official/,20
112,https://www.instagram.com/santamafia_tattoo/,20
113,https://www.instagram.com/skinink.tat/,3
114,https://www.instagram.com/fernandotorres_tattoo/?utm_medium=copy_link,11
115,https://www.instagram.com/donovan_tattoos/,5
116,https://www.instagram.com/mauravel1/?utm_medium=copy_link,23
117,https://www.instagram.com/alex_raven6/?utm_medium=copy_link,24
118,https://www.instagram.com/nixon.betancourt/?utm_medium=copy_link,25
119,https://www.instagram.com/leonardo.medito/,14
120,https://www.instagram.com/willyzararte/?r=nametag,17
